[2026-08-05T05:37:51.918Z] GET http://localhost:3002/_next/static/webpack/webpack.b6cb77a63d5c4fd5.hot-update.js → 200 (29ms, 858B)
[2026-08-05T05:37:51.989Z] GET http://localhost:3002/_next/static/css/app/layout.css?v=1785908271909 → 200 (2ms, 50295B)
[2026-08-05T05:39:55.652Z] GET http://localhost:3002/_next/static/webpack/7fce7bd5a7c69493.webpack.hot-update.json → 200 (56ms, 44B)
[2026-08-05T05:39:55.740Z] GET http://localhost:3002/_next/static/webpack/app/layout.7fce7bd5a7c69493.hot-update.js → 200 (44ms, 1591B)
[2026-08-05T05:39:55.740Z] GET http://localhost:3002/_next/static/webpack/webpack.7fce7bd5a7c69493.hot-update.js → 200 (43ms, 858B)
[2026-08-05T05:39:57.585Z] GET http://localhost:3002/?_rsc=r3yhw → 200 (84ms, 4379B)
[2026-08-05T05:39:57.589Z] GET http://localhost:3002/_next/static/webpack/3858a357e2b8edee.webpack.hot-update.json → 200 (9ms, 55B)
[2026-08-05T05:39:57.629Z] GET http://localhost:3002/_next/static/webpack/app/page.3858a357e2b8edee.hot-update.js → 200 (51ms, 37677B)
[2026-08-05T05:39:57.629Z] GET http://localhost:3002/_next/static/webpack/app/layout.3858a357e2b8edee.hot-update.js → 200 (50ms, 1591B)
[2026-08-05T05:39:57.629Z] GET http://localhost:3002/_next/static/webpack/webpack.3858a357e2b8edee.hot-update.js → 200 (48ms, 858B)
[2026-08-05T05:39:57.690Z] GET http://localhost:3002/_next/static/css/app/layout.css?v=1785908397650 → 200 (24ms, 50295B)
[2026-08-05T05:39:57.714Z] GET http://localhost:3002/about/photo1.jpg → pending (?ms, ?B)
[2026-08-05T05:39:57.714Z] GET http://localhost:3002/about/photo2.jpg → pending (?ms, ?B)
[2026-08-05T05:39:58.242Z] GET http://localhost:3002/_next/static/webpack/a0d72c85539a174b.webpack.hot-update.json → 200 (331ms, 31B)
[2026-08-05T05:39:58.573Z] GET http://localhost:3002/_next/static/webpack/webpack.a0d72c85539a174b.hot-update.js → 200 (7ms, 858B)
[2026-08-05T05:40:33.220Z] GET http://localhost:3002/_next/static/webpack/d4a3829008b4ec2e.webpack.hot-update.json → 200 (124ms, 44B)
[2026-08-05T05:40:33.468Z] GET http://localhost:3002/_next/static/webpack/app/layout.d4a3829008b4ec2e.hot-update.js → 200 (33ms, 1591B)
[2026-08-05T05:40:33.469Z] GET http://localhost:3002/_next/static/webpack/webpack.d4a3829008b4ec2e.hot-update.js → 200 (32ms, 858B)
[2026-08-05T05:40:34.127Z] GET http://localhost:3002/?_rsc=r3yhw → 200 (69ms, 4379B)
[2026-08-05T05:40:34.134Z] GET http://localhost:3002/_next/static/webpack/cd9413e06e364775.webpack.hot-update.json → 200 (10ms, 55B)
[2026-08-05T05:40:34.148Z] GET http://localhost:3002/_next/static/webpack/app/page.cd9413e06e364775.hot-update.js → 200 (3ms, 28555B)
[2026-08-05T05:40:34.148Z] GET http://localhost:3002/_next/static/webpack/app/layout.cd9413e06e364775.hot-update.js → 200 (4ms, 1591B)
[2026-08-05T05:40:34.149Z] GET http://localhost:3002/_next/static/webpack/webpack.cd9413e06e364775.hot-update.js → 200 (2ms, 858B)
[2026-08-05T05:40:34.215Z] GET http://localhost:3002/_next/static/css/app/layout.css?v=1785908434184 → 200 (14ms, 50295B)
[2026-08-05T05:40:42.185Z] GET http://localhost:3002/_next/static/webpack/b0c450d0799d024e.webpack.hot-update.json → 200 (317ms, 55B)
[2026-08-05T05:40:42.590Z] GET http://localhost:3002/_next/static/webpack/app/page.b0c450d0799d024e.hot-update.js → 200 (94ms, 28630B)
[2026-08-05T05:40:42.590Z] GET http://localhost:3002/_next/static/webpack/app/layout.b0c450d0799d024e.hot-update.js → 200 (95ms, 1591B)
[2026-08-05T05:40:42.609Z] GET http://localhost:3002/_next/static/webpack/webpack.b0c450d0799d024e.hot-update.js → 200 (49ms, 858B)
[2026-08-05T05:40:45.020Z] GET http://localhost:3002/?_rsc=r3yhw → 200 (341ms, 4379B)
[2026-08-05T05:40:45.397Z] GET http://localhost:3002/_next/static/css/app/layout.css?v=1785908445217 → 200 (13ms, 50295B)
[2026-08-05T05:40:47.025Z] GET http://localhost:3002/?_rsc=r3yhw → 200 (667ms, ?B)
[2026-08-05T05:40:47.033Z] GET http://localhost:3002/_next/static/webpack/9f45afaf6616501a.webpack.hot-update.json → 200 (41ms, 55B)
[2026-08-05T05:40:47.106Z] GET http://localhost:3002/_next/static/webpack/app/page.9f45afaf6616501a.hot-update.js → 200 (147ms, 28605B)
[2026-08-05T05:40:47.106Z] GET http://localhost:3002/_next/static/webpack/app/layout.9f45afaf6616501a.hot-update.js → 200 (41ms, 1591B)
[2026-08-05T05:40:47.106Z] GET http://localhost:3002/_next/static/webpack/webpack.9f45afaf6616501a.hot-update.js → 200 (37ms, 858B)
[2026-08-05T05:40:47.692Z] GET http://localhost:3002/_next/static/css/app/layout.css?v=1785908447139 → 200 (24ms, 50295B)
